arena,critic,component,mean,std,count
open,Vs,approach,1.7286171199999998,0.32189392245951454,5
open,Vs,body_rates,-0.47375911400000004,0.1397747757109951,5
open,Vs,bounds,-2.46094652,0.9324180827035354,5
open,Vs,capture,6.11748512,1.0924631825336137,5
open,Vs,perception,0.754653068,0.10243501038513211,5
open,Vs,time,-0.41152824800000004,0.06928004471627001,5
open,Vsh,approach,0.728986989,0.9177613284141142,5
open,Vsh,body_rates,-0.3895620778,0.4761144755207417,5
open,Vsh,bounds,-6.1247323,3.6457306760730996,5
open,Vsh,capture,2.7707627338000003,3.1364456950335255,5
open,Vsh,perception,0.4201016,0.32138888267344606,5
open,Vsh,time,-0.2654194566,0.26720119014413235,5
open,Vsoa,approach,-0.019909493333333344,0.16426227456791237,3
open,Vsoa,body_rates,-0.24187793,0.16551390705681138,3
open,Vsoa,bounds,-9.851147,0.1929568883222367,3
open,Vsoa,capture,0.149560345,0.19349489001204714,3
open,Vsoa,perception,0.12208736199999999,0.025324080924093807,3
open,Vsoa,time,-0.059445066666666664,0.008960352094935634,3
open,Vsz,approach,1.9745547399999999,0.40869494934617556,5
open,Vsz,body_rates,-0.44393092999999995,0.254682643027393,5
open,Vsz,bounds,-1.8569703400000002,0.8910707542564329,5
open,Vsz,capture,6.9836529,1.589764877154427,5
open,Vsz,perception,0.683033476,0.248841301930885,5
open,Vsz,time,-0.3520975,0.1596205714720836,5
wall,Vs,approach,1.02762012,0.02709628925548664,5
wall,Vs,body_rates,-0.0686194638,0.001029554252041733,5
wall,Vs,bounds,-2.2978312,0.13419313086361753,5
wall,Vs,capture,3.74213124,0.10176457471275564,5
wall,Vs,perception,0.0906178128,0.0018245364868999419,5
wall,Vs,time,-0.06827838280000001,0.0011659150282542939,5
wall,Vs,wall_collision,-3.99854184,0.08190053631245595,5
wall,Vsh,approach,0.8848910200000001,0.2122432143685447,5
wall,Vsh,body_rates,-0.0780553984,0.01486609570765338,5
wall,Vsh,bounds,-3.0444473800000003,0.791484958148064,5
wall,Vsh,capture,3.21142974,0.7963008604254193,5
wall,Vsh,perception,0.0915288668,0.005368404293323456,5
wall,Vsh,time,-0.07205181199999999,0.008446711108903274,5
wall,Vsh,wall_collision,-3.79302354,0.5315689509155168,5
wall,Vsoa,approach,0.02314526466666667,0.07423821187107099,3
wall,Vsoa,body_rates,-0.20902210333333335,0.06862201892034389,3
wall,Vsoa,bounds,-9.076782,0.6591655735298991,3
wall,Vsoa,capture,0.22923981333333332,0.09120501278398152,3
wall,Vsoa,perception,0.05937183033333334,0.006012504955713584,3
wall,Vsoa,time,-0.05546971966666667,0.007155317157406814,3
wall,Vsoa,wall_collision,-0.81679214,0.6478876176158693,3
wall,Vsz,approach,1.06168088,0.008726848954920745,5
wall,Vsz,body_rates,-0.06862806660000001,0.0033958832371637614,5
wall,Vsz,bounds,-2.17267692,0.1864538238879321,5
wall,Vsz,capture,3.85613808,0.04323064753542328,5
wall,Vsz,perception,0.086248909,0.0033629757834104323,5
wall,Vsz,time,-0.066145462,0.0015662464685419122,5
wall,Vsz,wall_collision,-4.0080917,0.17662039481282998,5
