critic,arena,mean,lower,upper,count,n_kept
Vs,open,0.6319511776000001,0.555641698365,0.70653736049,20,10
Vs,wall,0.3549309932,0.35127669779500004,0.3606302203172632,20,10
Vsh,open,0.23826530518000003,0.06010507744466,0.471736483375,20,10
Vsh,wall,0.31749837680000004,0.257888189285,0.34951834017500005,20,10
Vsoa,open,0.0042478842306,0.0009337532882240001,0.010065744003289998,20,10
Vsoa,wall,0.006409635536,0.0037567359030399997,0.008388510975399997,20,10
Vsz,open,0.5348984486,0.38472471192999996,0.6966263362149999,20,10
Vsz,wall,0.3632379602,0.36012581797500004,0.36767435586999997,20,10
